Fakturanr.;Fakturadato;Forfallsdato;Kundenummer;Avdelingsnummer;Avdelingsnavn;Prosjektnummer;Prosjektleder Nummer;Beløp ekskl. mva;Valuta;Beløp inkl. mva;Betalt;Utestående;Purring;Purring Status;Purring Sist sendt;Purring Forfallsdato
7862.0;0001-09-30;0001-10-30;10740;;Avdeling;0000.54;;98270.0;NOK;122837.5;122837.5;0.0;;;;
7863.0;0001-09-30;0001-10-30;10767;;Avdeling;0000.35;;6000.0;NOK;7500.0;7500.0;0.0;;;;
7864.0;0001-09-30;0001-10-30;10773;;Avdeling;0001.65;;23100.0;NOK;28875.0;28875.0;0.0;;;;
7865.0;0001-09-30;0001-10-30;10800;;Avdeling;0001.72;;146660.0;NOK;183325.0;183325.0;0.0;;;;
7866.0;0001-09-30;0001-10-30;10800;;Avdeling;nan;;12280.0;NOK;15350.0;15350.0;0.0;;;;
7867.0;0001-09-30;0001-10-30;10000;;Avdeling;0001.71;;56150.0;NOK;70187.5;70187.5;0.0;;;;
7868.0;0001-09-30;0001-10-30;10838;;Avdeling;0001.70;;23300.0;NOK;29125.0;29125.0;0.0;0.0;Betalingspåminnelse;0001-12-07;0001-12-07
7869.0;0001-09-30;0001-10-30;10836;;Avdeling;0001.66;;51450.0;NOK;64312.5;64312.5;0.0;;;;
7870.0;0001-09-30;0001-10-30;10841;;Avdeling;0001.62;;180990.0;NOK;226237.5;226237.5;0.0;;;;
7871.0;0001-09-30;0001-10-30;10841;;Avdeling;nan;;6900.0;NOK;8625.0;8625.0;0.0;;;;
7872.0;0001-09-30;0001-10-30;10830;;Avdeling;0001.47;;160720.0;NOK;200900.0;200900.0;0.0;;;;
7873.0;0001-09-30;0001-10-30;10819;;Avdeling;0001.45;;151950.0;NOK;189937.5;189937.5;0.0;;;;
7874.0;0001-09-30;0001-10-30;10800;;Avdeling;0001.22;;137000.0;NOK;171250.0;171250.0;0.0;;;;
7875.0;0001-09-30;0001-10-30;10810;;Avdeling;0001.06;;4260.0;NOK;5325.0;5325.0;0.0;0.0;Betalingspåminnelse;0001-11-04;0001-11-04
7876.0;0001-09-30;0001-10-30;10285;;Avdeling;0000.93;;13720.0;NOK;17150.0;17150.0;0.0;;;;
7877.0;0001-09-30;0001-10-30;10772;;Avdeling;0000.75;;120400.0;NOK;150500.0;150500.0;0.0;;;;
